name,link,percentile,points
"Florida Gators - AI- Claude Sonnet Bracket","https://fantasy.espn.com/games/tournament-challenge-bracket-2025/bracket?id=088d7d70-039b-11f0-8546-f1c95cf89588","98.4%","1610"
"Duke Blue Devils - AI - Grok3 Bracket","https://fantasy.espn.com/games/tournament-challenge-bracket-2025/bracket?id=78b9a8f0-036c-11f0-b736-1f0403741a26","85.1%","1280"
"Duke Blue Devils - AI - Perplexity Deep","https://fantasy.espn.com/games/tournament-challenge-bracket-2025/bracket?id=2070b7b0-038f-11f0-9660-0d52d3605833","84.5%","1270"
"Houston Cougars - AI - Sesame Bracket","https://fantasy.espn.com/games/tournament-challenge-bracket-2025/bracket?id=0c523ab0-03a8-11f0-a871-a9e19a93519d","80.8%","1230"
"Duke Blue Devils - DanL-3-Q-MW-SmartBracket","https://fantasy.espn.com/games/tournament-challenge-bracket-2025/bracket?id=6e9565c0-0507-11f0-9da0-0b02cce4e84e","77.7%","1180"
"Duke Blue Devils - AI - ChatGPT 4.5 Bracket","https://fantasy.espn.com/games/tournament-challenge-bracket-2025/bracket?id=af5a4a60-0509-11f0-90b9-91b7228049d4","75.9%","1150"
"Duke Blue Devils - AI - Llama bracket","https://fantasy.espn.com/games/tournament-challenge-bracket-2025/bracket?id=7399d040-03a6-11f0-a7ca-e106f190990a","74.1%","1130"
"Duke Blue Devils - AI - Gemini DeepResearch","https://fantasy.espn.com/games/tournament-challenge-bracket-2025/bracket?id=a1f70b40-03a3-11f0-8bf2-0d08b8cd5e88","73.4%","1120"
"Duke Blue Devils - AI - Copilot Bracket","https://fantasy.espn.com/games/tournament-challenge-bracket-2025/bracket?id=59a1ec00-03a0-11f0-97cf-4d4edd8a0553","71.1%","1090"
"Duke Blue Devils - Benchmark: ESPNBet|Chalk","https://fantasy.espn.com/games/tournament-challenge-bracket-2025/bracket?id=fe81d770-059a-11f0-90b9-91b7228049d4","71.1%","1090"
"Duke Blue Devils - DanL SmartBracket 1-click","https://fantasy.espn.com/games/tournament-challenge-bracket-2025/bracket?id=5fc3ef40-0362-11f0-8c36-d58fad34d9c5","68.8%","1080"
"Duke Blue Devils - AI - Qwen2.5 Max Bracket","https://fantasy.espn.com/games/tournament-challenge-bracket-2025/bracket?id=118150a0-03a5-11f0-9463-77c1b3b91f5d","68.8%","1080"
"Auburn Tigers - AI - Llama 3.1 “Smarter”","https://fantasy.espn.com/games/tournament-challenge-bracket-2025/bracket?id=bc431010-0403-11f0-91fa-0d7c27f5419d","57.7%","960"
"Duke Blue Devils - AI- Deepseek R1","https://fantasy.espn.com/games/tournament-challenge-bracket-2025/bracket?id=ffd89190-039c-11f0-ba45-49b7dff8a965","51%","900"
"Houston Cougars - ESPN Smart Bracket","https://fantasy.espn.com/games/tournament-challenge-bracket-2025/bracket?id=ac56ca20-0363-11f0-84f8-cdf5d0ec647c","46.1%","860"
"Kentucky Wildcats - AI - O3 Mini","https://fantasy.espn.com/games/tournament-challenge-bracket-2025/bracket?id=3e599620-039e-11f0-b3ff-f56ba6ce6f00","41.2%","820"
"Saint Mary's Gaels - ESPN - Chalk Bracket","https://fantasy.espn.com/games/tournament-challenge-bracket-2025/bracket?id=870961b0-0363-11f0-8c36-d58fad34d9c5","12.7%","510"
"Lipscomb Bisons - DanL-RandomPicks","https://fantasy.espn.com/games/tournament-challenge-bracket-2025/bracket?id=2c5a5da0-058e-11f0-aec6-613318abc548","9.2%","400"
